,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,Yrs_Starter,wAV,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Uni,draft_year,mAV
886,8,222,TAM,Mike Pawlawski,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,California,1992,0.0
891,9,227,MIN,Brad Johnson,QB,23,2008,0,2,8,76,177,2668,4326,29054,166,122,276,657,8,Florida St.,1992,1.0095394154169992
892,9,228,RAM,T.J. Rubley,QB,23,1995,0,0,0,5,10,112,195,1377,8,7,31,108,0,Tulsa,1992,0.5748873589421728
894,9,230,GNB,Ty Detmer,QB,24,2003,0,0,2,16,54,546,946,6351,34,35,72,177,3,BYU,1992,0.4974574647406423
906,9,242,SFO,Darian Hagan,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorado,1992,0.0
960,11,296,MIA,Mark Barsotti,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fresno St.,1992,0.0
980,12,316,CLE,Keithen McCant,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,1992,0.0
982,12,318,PIT,Cornelius Benton,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Connecticut,1992,0.0
999,12,335,BUF,Matt Rodgers,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,1992,0.0
1001,1,1,NWE,Drew Bledsoe,QB,21,2006,0,4,12,105,194,3839,6717,44611,251,206,385,764,10,Washington St.,1993,1.3588486508762867
1002,1,2,SEA,Rick Mirer,QB,23,2003,0,0,5,33,80,1088,2043,11969,50,76,242,1130,9,Notre Dame,1993,0.8098468093149197
1058,3,58,RAI,Billy Joe Hobert,QB,22,1999,0,0,0,7,29,275,527,3371,23,25,33,121,1,Washington,1993,0.3332391010052214
1118,5,118,GNB,Mark Brunell,QB,22,2011,0,3,11,96,193,2761,4640,32072,184,108,513,2421,15,Washington,1993,1.226565848236817
1192,7,192,MIN,Gino Torretta,QB,23,1996,0,0,0,0,2,5,16,41,1,1,2,12,0,Miami (FL),1993,0.0
1216,8,216,PIT,Alex Van Pelt,QB,23,2003,0,0,0,7,31,262,477,2985,16,24,32,53,1,Pittsburgh,1993,0.31304279185338985
1219,8,219,SFO,Elvis Grbac,QB,23,2001,0,1,4,48,105,1446,2445,16774,99,81,163,388,7,Michigan,1993,0.9729840190184958
1222,8,222,SDG,Trent Green,QB,23,2008,0,2,7,94,120,2266,3740,28475,162,114,243,914,6,Indiana,1993,1.911584910403151
1227,1,3,WAS,Heath Shuler,QB,22,1997,0,0,2,6,29,292,593,3691,15,33,67,198,1,Tennessee,1994,0.27696175763327524
1230,1,6,TAM,Trent Dilfer,QB,22,2007,0,1,7,51,130,1759,3172,20518,113,129,248,853,5,Fresno St.,1994,0.8482234603697119
1335,4,111,ATL,Perry Klein,QB,23,1994,0,0,0,0,2,0,1,0,0,0,0,0,0,C.W. Post,1994,0.0
1340,4,116,NOR,Doug Nussmeier,QB,23,1997,0,0,0,2,5,46,82,455,1,4,11,36,0,Idaho,1994,0.3281995299991528
1402,6,178,PIT,Jim Miller,QB,23,2002,0,0,2,16,37,610,1046,6387,36,31,55,4,0,Michigan St.,1994,0.7142978980891274
1421,7,197,WAS,Gus Frerotte,QB,23,2008,0,1,5,57,147,1699,3106,21291,114,106,197,315,6,Tulsa,1994,0.8587436889849209
1422,7,198,NWE,Jay Walker,QB,22,1997,0,0,0,0,1,2,2,31,0,0,0,0,0,Howard,1994,0.0
1423,7,199,KAN,Steve Matthews,QB,23,1998,0,0,0,1,3,28,43,299,0,0,1,10,0,Memphis,1994,0.2
1432,7,208,NYJ,Glenn Foley,QB,23,1999,0,0,0,8,21,207,382,2469,12,16,19,32,0,Boston Col.,1994,0.5272057622644862
1449,1,3,HOU,Steve McNair,QB,22,2007,0,3,10,99,161,2733,4544,31304,174,119,669,3590,37,Alcorn St.,1995,1.5225607470630422
1451,1,5,CAR,Kerry Collins,QB,22,2011,0,2,11,83,198,3487,6261,40922,208,196,374,686,10,Penn St.,1995,1.0043005838908743
1491,2,45,BUF,Todd Collins,QB,23,2010,0,0,1,11,49,391,701,4547,22,24,83,152,0,Michigan,1995,0.3484183711416462
1506,2,60,PIT,Kordell Stewart,QB,22,2005,0,1,6,60,125,1316,2358,14746,77,84,560,2874,38,Colorado,1995,1.07146448280286
1526,3,80,ARI,Stoney Case,QB,23,2000,0,0,0,4,20,163,318,1826,4,15,60,270,5,New Mexico,1995,0.2399105292314353
1530,3,84,CLE,Eric Zeier,QB,23,2000,0,0,0,5,28,301,537,3520,16,15,43,127,0,Georgia,1995,0.22995494357686913
1545,4,99,JAX,Rob Johnson,QB,22,2003,0,0,2,21,48,494,806,5795,30,23,140,877,4,USC,1995,0.7721348406460684
1557,4,111,MIN,Chad May,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas St.,1995,0.0
1565,4,119,PHI,Dave Barr,QB,23,1995,0,0,0,0,2,5,9,42,0,0,1,5,0,California,1995,0.0
1580,4,134,KAN,Steve Stenstrom,QB,23,1999,0,0,0,6,17,177,314,1895,4,12,22,100,2,Stanford,1995,0.451884972980607
1606,5,160,GNB,Jay Barker,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alabama,1995,0.0
