,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,Yrs_Starter,wAV,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Uni,draft_year,mAV
3985,1,24,GNB,Aaron Rodgers,QB,21,2023,4,10,14,163,231,5001,7661,59055,475,105,719,3466,35,California,2005,1.9376226576241715
3986,1,25,WAS,Jason Campbell,QB,23,2014,0,0,5,48,90,1519,2518,16771,87,60,240,1204,6,Auburn,2005,1.1316227177715115
4028,3,67,CLE,Charlie Frye,QB,24,2009,0,0,1,8,26,419,677,4154,17,29,72,347,4,Akron,2005,0.433061876145828
4030,3,69,OAK,Andrew Walter,QB,23,2008,0,0,1,1,15,174,333,1919,3,16,19,49,0,Arizona St.,2005,0.058823529411764705
4046,3,85,SEA,David Greene,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia,2005,0.0
4067,4,106,CHI,Kyle Orton,QB,22,2014,0,0,5,40,87,1613,2712,18037,101,69,126,296,4,Purdue,2005,0.9399007214303579
4082,4,121,CAR,Stefan Lefors,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisville,2005,0.0
4106,5,145,DET,Dan Orlovsky,QB,22,2015,0,0,1,7,26,298,512,3132,15,13,13,34,0,Connecticut,2005,0.368943290398638
4113,5,152,NOR,Adrian McPherson,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida St.,2005,0.0
4174,6,213,BAL,Derek Anderson,QB,22,2018,0,1,3,23,78,909,1674,10878,60,64,102,226,5,Oregon St.,2005,0.5382492287845214
4190,7,229,KAN,James Kilian,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tulsa,2005,0.0
4191,7,230,NWE,Matt Cassel,QB,23,2018,0,1,6,47,107,1578,2683,17508,104,82,268,1025,5,USC,2005,0.9313028491094486
4211,7,250,STL,Ryan Fitzpatrick,QB,22,2021,0,0,10,78,166,3072,5060,34990,223,169,574,2625,21,Harvard,2005,1.1096965644849437
4219,1,3,TEN,Vince Young,QB,23,2011,0,2,4,33,60,755,1304,8964,46,51,282,1459,12,Texas,2006,1.071087715545539
4226,1,10,ARI,Matt Leinart,QB,23,2012,0,0,1,12,33,366,641,4065,15,21,47,89,2,USC,2006,0.5635720558344773
4227,1,11,DEN,Jay Cutler,QB,23,2017,0,1,10,86,153,3048,4920,35133,227,160,386,1682,9,Vanderbilt,2006,1.3522794344966917
4265,2,49,NYJ,Kellen Clemens,QB,23,2017,0,0,2,10,64,350,638,4053,16,21,85,227,3,Oregon,2006,0.24013533219107777
4280,2,64,MIN,Tarvaris Jackson,QB,23,2015,0,0,2,22,59,640,1073,7263,39,35,171,636,6,Alabama St.,2006,0.6692330524209484
4297,3,81,SDG,Charlie Whitehurst,QB,24,2016,0,0,0,7,25,219,396,2463,11,8,56,156,2,Clemson,2006,0.38260785670969866
4301,3,85,KAN,Brodie Croyle,QB,23,2010,0,0,0,2,18,181,319,1669,8,9,10,15,0,Alabama,2006,0.11486983549970349
4319,4,103,NYJ,Brad Smith,QB,22,2014,0,0,1,17,127,4,10,51,1,2,134,972,4,Missouri,2006,0.23224640242751463
4364,5,148,GNB,Ingle Martin,QB,24,2006,0,0,0,0,1,0,0,0,0,0,2,-5,0,Furman,2006,0.0
4380,5,164,PIT,Omar Jacobs,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bowling Green,2006,0.0
4409,6,193,CIN,Reggie McNeal,QB,22,2006,0,0,0,0,7,0,0,0,0,0,1,8,0,Texas A&M,2006,0.0
4410,6,194,TAM,Bruce Gradkowski,QB,23,2014,0,0,1,8,37,375,709,4057,21,24,88,329,0,Toledo,2006,0.3109162187713637
4439,7,223,ATL,D.J. Shockley,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia,2006,0.0
4472,1,1,OAK,JaMarcus Russell,QB,22,2009,0,0,2,6,31,354,680,4083,18,23,40,175,1,LSU,2007,0.2601761965645919
4493,1,22,CLE,Brady Quinn,QB,22,2012,0,0,1,2,24,296,550,3043,12,17,44,185,1,Notre Dame,2007,0.08836141192284884
4507,2,36,PHI,Kevin Kolb,QB,23,2012,0,0,1,12,34,449,755,5206,28,25,69,229,2,Houston,2007,0.5479172765057418
4511,2,40,MIA,John Beck,QB,26,2011,0,0,0,4,9,140,239,1417,3,7,19,55,3,BYU,2007,0.4798210584628706
4514,2,43,DET,Drew Stanton,QB,23,2017,0,0,1,10,38,345,659,4059,20,24,80,220,2,Michigan St.,2007,0.39622329811527834
4563,3,92,BUF,Trent Edwards,QB,23,2012,0,0,2,16,38,563,929,6033,26,30,78,330,3,Stanford,2007,0.6964404506368992
4574,4,103,DAL,Isaiah Stanback,QB,23,2012,0,0,0,0,22,0,0,0,0,0,0,0,0,Washington,2007,0.0
4622,5,151,CIN,Jeff Rowe,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nevada,2007,0.0
4645,5,174,BAL,Troy Smith,QB,23,2010,0,0,0,6,20,121,234,1734,8,5,52,230,3,Ohio St.,2007,0.39026429484688785
4676,6,205,WAS,Jordan Palmer,QB,23,2014,0,0,0,0,5,11,18,66,0,2,2,3,0,Texas-El Paso,2007,0.0
4688,7,217,MIN,Tyler Thigpen,QB,23,2012,0,0,1,10,29,275,509,3222,21,18,79,469,3,Coastal Carolina,2007,0.511255868535843
4729,1,3,ATL,Matt Ryan,QB,23,2022,1,4,15,146,234,5551,8464,62792,381,183,514,1539,13,Boston Col.,2008,1.6761443751225782
4744,1,18,BAL,Joe Flacco,QB,23,2023,0,0,12,95,188,4004,6503,43936,245,155,377,864,16,Delaware,2008,1.2431247851060507
4782,2,56,GNB,Brian Brohm,QB,22,2010,0,0,0,0,3,27,52,252,0,5,3,-3,0,Louisville,2008,0.0
4783,2,57,MIA,Chad Henne,QB,23,2022,0,0,3,26,78,1200,2015,13290,60,63,143,351,4,Michigan,2008,0.6235596872782245
4820,3,94,NWE,Kevin O'Connell,QB,23,2008,0,0,0,0,2,4,6,23,0,0,3,-6,0,San Diego St.,2008,0.0
4863,5,137,MIN,John David Booty,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USC,2008,0.0
4882,5,156,PIT,Dennis Dixon,QB,23,2010,0,0,0,2,4,35,59,402,1,2,10,56,1,Oregon,2008,0.3828994516656783
4886,5,160,TAM,Josh Johnson,QB,22,2022,0,0,0,7,39,206,355,2280,13,16,78,425,1,San Diego,2008,0.2519612714917528
4888,5,162,NYJ,Erik Ainge,QB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tennessee,2008,0.0
4912,6,186,WAS,Colt Brennan,QB,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hawaii,2008,0.0
4924,6,198,NYG,Andre Woodson,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kentucky,2008,0.0
4935,7,209,GNB,Matt Flynn,QB,23,2014,0,0,0,8,51,219,357,2541,17,11,65,69,1,LSU,2008,0.22878740626572044
4949,7,223,HOU,Alex Brink,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington St.,2008,0.0
4979,1,1,DET,Matthew Stafford,QB,21,2023,0,2,13,121,206,4834,7649,56047,357,180,411,1315,15,Georgia,2009,1.518025648407421
4983,1,5,NYJ,Mark Sanchez,QB,22,2018,0,0,4,32,79,1314,2320,15357,86,89,170,457,13,USC,2009,0.7901234567901234
4995,1,17,TAM,Josh Freeman,QB,21,2015,0,0,4,37,62,1179,2048,13873,81,68,205,946,4,Kansas St.,2009,1.1903155164016426
5022,2,44,MIA,Pat White,QB,23,2009,0,0,0,1,13,0,5,0,0,0,21,81,0,West Virginia,2009,0.06666666666666667
5079,4,101,DAL,Stephen McGee,QB,23,2011,0,0,0,2,3,46,82,420,3,0,17,102,0,Texas A&M,2009,0.45947934199881396
5129,5,151,NYG,Rhett Bomar,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Houston St.,2009,0.0
5149,5,171,SFO,Nate Davis,QB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ball St.,2009,0.0
5152,6,174,DEN,Tom Brandstater,QB,24,2011,0,0,0,0,1,0,2,0,0,0,0,0,0,Fresno St.,2009,0.0
5156,6,178,SEA,Mike Teel,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rutgers,2009,0.0
5174,6,196,STL,Keith Null,QB,23,2009,0,0,0,1,4,73,119,566,3,9,5,6,0,West Texas A&M,2009,0.16666666666666666
5179,6,201,IND,Curtis Painter,QB,24,2013,0,0,1,2,14,148,287,1681,6,13,23,109,0,Purdue,2009,0.14358729437462936
5235,1,1,STL,Sam Bradford,QB,22,2018,0,0,5,44,83,1855,2967,19449,103,61,146,340,2,Oklahoma,2010,1.1033779127520202
5259,1,25,DEN,Tim Tebow,QB,23,2012,0,0,1,12,35,173,361,2422,17,9,197,989,12,Florida,2010,0.5331087014650461
5282,2,48,CAR,Jimmy Clausen,QB,22,2015,0,0,1,3,21,255,472,2520,7,14,37,102,0,Notre Dame,2010,0.16248664429767617
5319,3,85,CLE,Colt McCoy,QB,24,2022,0,0,2,17,56,764,1220,7975,34,32,175,582,2,Texas,2010,0.5165480329853342
5356,4,122,PHI,Mike Kafka,QB,23,2011,0,0,0,0,4,11,16,107,0,2,3,0,0,Northwestern,2010,0.0
5389,5,155,ARI,John Skelton,QB,22,2012,0,0,1,4,20,320,602,3707,15,25,42,182,0,Fordham,2010,0.2399105292314353
5402,5,168,SDG,Jonathan Crompton,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tennessee,2010,0.0
5410,6,176,TEN,Rusty Smith,QB,23,2012,0,0,0,1,3,23,45,234,0,4,0,0,0,Florida Atlantic,2010,0.2
5415,6,181,CHI,Dan LeFevour,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Michigan,2010,0.0
5438,6,204,CAR,Tony Pike,QB,24,2010,0,0,0,0,1,6,12,47,0,0,0,0,0,Cincinnati,2010,0.0
5443,7,209,BUF,Levi Brown,QB,23,2010,0,0,0,0,1,2,3,24,0,1,0,0,0,Troy,2010,0.0
5473,7,239,NOR,Sean Canfield,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oregon St.,2010,0.0
5484,7,250,NWE,Zac Robinson,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oklahoma St.,2010,0.0
5490,1,1,CAR,Cam Newton,QB,22,2021,1,3,9,115,148,2682,4474,32382,194,123,1118,5628,75,Auburn,2011,1.980369136567007
5497,1,8,TEN,Jake Locker,QB,23,2014,0,0,1,15,30,408,709,4967,27,22,95,644,5,Washington,2011,0.8056743410566306
5499,1,10,JAX,Blaine Gabbert,QB,21,2023,0,0,2,17,69,882,1568,9487,51,50,201,685,3,Missouri,2011,0.42196881567816036
5501,1,12,MIN,Christian Ponder,QB,23,2014,0,0,3,22,38,632,1057,6658,38,36,126,639,7,Florida St.,2011,1.0205804049419462
5524,2,35,CIN,Andy Dalton,QB,23,2023,0,3,11,91,169,3408,5454,38511,246,144,471,1477,22,TCU,2011,1.3117575133751174
5525,2,36,SFO,Colin Kaepernick,QB,23,2016,0,0,4,45,69,1011,1692,12271,72,30,375,2300,13,Nevada,2011,1.357052557397529
5563,3,74,NWE,Ryan Mallett,QB,23,2017,0,0,0,4,21,190,345,1835,9,10,28,-5,1,Arkansas,2011,0.2294796366561555
5624,5,135,KAN,Ricky Stanzi,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,2011,0.0
5641,5,152,HOU,T.J. Yates,QB,24,2017,0,0,0,6,22,179,324,2057,10,11,28,107,1,North Carolina,2011,0.35774227027631383
5649,5,160,CHI,Nathan Enderle,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,2011,0.0
5669,6,180,BAL,Tyrod Taylor,QB,22,2023,0,1,3,48,92,1068,1730,12135,65,29,404,2268,19,Virginia Tech,2011,1.10754563866999
5697,7,208,NYJ,Greg McElroy,QB,23,2012,0,0,0,1,2,19,31,214,1,1,8,30,0,Alabama,2011,0.25
5744,1,1,IND,Andrew Luck,QB,22,2018,0,4,5,72,86,2000,3290,23671,171,83,332,1590,14,Stanford,2012,1.9244929459494655
5745,1,2,WAS,Robert Griffin III,QB,22,2020,0,1,3,36,56,799,1268,9271,43,30,307,1809,10,Baylor,2012,1.270969144807791
5751,1,8,MIA,Ryan Tannehill,QB,24,2023,0,1,10,91,155,3063,4764,34881,216,115,440,2103,27,Texas A&M,2012,1.4287295209372297
5765,1,22,CLE,Brandon Weeden,QB,28,2018,0,0,1,13,35,559,965,6462,31,30,62,200,1,Oklahoma St.,2012,0.5868543102797982
5800,2,57,DEN,Brock Osweiler,QB,21,2018,0,0,1,14,49,697,1165,7418,37,31,92,266,4,Arizona St.,2012,0.46535401652968816
5818,3,75,SEA,Russell Wilson,QB,23,2023,0,9,11,136,188,3668,5665,43653,334,106,981,5307,29,Wisconsin,2012,1.9120228984280156
5831,3,88,PHI,Nick Foles,QB,23,2022,0,1,3,32,71,1302,2087,14227,82,47,151,407,6,Arizona,2012,0.8767123287671232
5845,4,102,WAS,Kirk Cousins,QB,24,2023,0,4,8,94,150,3465,5177,39471,270,110,304,958,19,Michigan St.,2012,1.534298414928845
5986,7,243,GNB,B.J. Coleman,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chattanooga,2012,0.0
5996,7,253,IND,Chandler Harnish,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northern Illinois,2012,0.0
6012,1,16,BUF,EJ Manuel,QB,23,2017,0,0,1,10,30,343,590,3767,20,16,96,339,4,Florida St.,2013,0.4952791226440979
6035,2,39,NYJ,Geno Smith,QB,22,2023,0,2,3,42,77,1314,2077,14823,84,57,263,1222,10,West Virginia,2013,1.1227215459316917
6069,3,73,TAM,Mike Glennon,QB,23,2021,0,0,1,9,40,689,1147,7025,47,35,56,140,1,North Carolina St.,2013,0.33253833726757703
6094,4,98,PHI,Matt Barkley,QB,22,2023,0,0,1,5,20,212,363,2699,11,22,26,-15,0,USC,2013,0.31357492305936696
6106,4,110,NYG,Ryan Nassib,QB,23,2015,0,0,0,0,5,9,10,128,1,0,2,-3,0,Syracuse,2013,0.0
6108,4,112,OAK,Tyler Wilson,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas,2013,0.0
6111,4,115,PIT,Landry Jones,QB,24,2017,0,0,0,4,18,108,169,1310,8,7,19,-19,0,Oklahoma,2013,0.2639015821545788
6217,7,221,SDG,Brad Sorensen,QB,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southern Utah,2013,0.0
6230,7,234,DEN,Zac Dysert,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miami (OH),2013,0.0
6233,7,237,SFO,B.J. Daniels,QB,24,2015,0,0,0,0,8,1,2,7,0,0,6,6,0,South Florida,2013,0.0
6245,7,249,ATL,Sean Renfree,QB,23,2015,0,0,0,0,2,3,7,11,0,1,1,-4,0,Duke,2013,0.0
6253,1,3,JAX,Blake Bortles,QB,22,2019,0,0,5,44,78,1562,2634,17649,103,75,283,1766,8,Central Florida,2014,1.1723390322990215
6272,1,22,CLE,Johnny Manziel,QB,21,2015,0,0,0,4,14,147,258,1675,7,7,46,259,1,Texas A&M,2014,0.32987697769322355
6282,1,32,MIN,Teddy Bridgewater,QB,21,2023,0,1,4,49,79,1372,2067,15120,75,47,221,844,11,Louisville,2014,1.3174989481439037
6286,2,36,OAK,Derek Carr,QB,23,2023,0,4,9,90,159,3576,5506,39100,242,107,310,885,6,Fresno St.,2014,1.3748810790462278
6312,2,62,NWE,Jimmy Garoppolo,QB,22,2023,0,0,3,47,81,1277,1895,15494,94,51,185,264,7,Eastern Illinois,2014,1.2230362717220469
6370,4,120,ARI,Logan Thomas,QB,23,2023,0,0,2,15,94,3,11,124,1,0,4,7,0,Virginia Tech,2014,0.26855811368554355
6385,4,135,HOU,Tom Savage,QB,24,2017,0,0,1,3,13,181,315,2000,5,7,16,8,0,Pittsburgh,2014,0.24914618792310345
6413,5,163,KAN,Aaron Murray,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia,2014,0.0
6414,5,164,CIN,A.J. McCarron,QB,23,2023,0,0,0,4,19,113,179,1192,6,3,22,68,1,Alabama,2014,0.25133484014721796
6428,6,178,TEN,Zach Mettenberger,QB,23,2015,0,0,1,1,14,208,345,2347,12,14,14,12,1,LSU,2014,0.0625
6433,6,183,CHI,David Fales,QB,23,2019,0,0,0,1,5,31,48,287,1,1,5,8,1,San Jose St.,2014,0.14285714285714285
6444,6,194,BAL,Keith Wenning,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ball St.,2014,0.0
6463,6,213,NYJ,Tajh Boyd,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clemson,2014,0.0
6464,6,214,STL,Garrett Gilbert,QB,23,2021,0,0,0,2,8,43,75,477,1,1,6,25,0,SMU,2014,0.22973967099940698
6507,1,1,TAM,Jameis Winston,QB,21,2023,0,1,5,60,93,1763,2882,22104,141,99,298,1214,11,Florida St.,2015,1.432378834904876
6508,1,2,TEN,Marcus Mariota,QB,21,2023,0,0,5,54,90,1327,2118,15820,93,55,357,2064,17,Oregon,2015,1.3034209118025832
6581,3,75,NOR,Garrett Grayson,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorado St.,2015,0.0
6595,3,89,STL,Sean Mannion,QB,23,2021,0,0,0,2,14,67,110,573,1,3,25,-3,0,Oregon St.,2015,0.14358729437462936
6609,4,103,NYJ,Bryce Petty,QB,24,2017,0,0,0,4,10,130,245,1353,4,10,12,74,0,Baylor,2015,0.4398359702576314
6653,5,147,GNB,Brett Hundley,QB,22,2019,0,0,1,5,18,199,337,1902,9,13,46,309,2,UCLA,2015,0.34493241536530367
6756,7,250,DEN,Trevor Siemian,QB,23,2023,0,0,2,16,40,707,1208,7751,44,32,84,251,2,Northwestern,2015,0.6632766196541897
6763,1,1,LAR,Jared Goff,QB,21,2023,0,3,6,83,117,2657,4107,30429,185,82,241,495,12,California,2016,1.6879001409930658
6764,1,2,PHI,Carson Wentz,QB,23,2023,0,1,6,60,95,2073,3308,22292,153,67,354,1418,11,North Dakota St.,2016,1.4028452506800333
6788,1,26,DEN,Paxton Lynch,QB,22,2017,0,0,0,2,5,79,128,792,4,4,16,55,0,Memphis,2016,0.3281995299991528
6813,2,51,NYJ,Christian Hackenberg,QB,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Penn St.,2016,0.0
6853,3,91,NWE,Jacoby Brissett,QB,23,2023,0,0,3,34,79,981,1600,10574,51,23,230,915,15,North Carolina St.,2016,0.8497470813456306
6855,3,93,CLE,Cody Kessler,QB,23,2018,0,0,1,5,17,224,349,2215,8,5,31,140,0,USC,2016,0.36308675301610915
6862,4,100,OAK,Connor Cook,QB,23,2016,0,0,0,0,1,14,21,150,1,1,0,0,0,Michigan St.,2016,0.0
6897,4,135,DAL,Dak Prescott,QB,23,2023,0,4,6,91,114,2595,3873,29459,202,74,407,1884,28,Mississippi St.,2016,1.9337115067857333
6901,4,139,BUF,Cardale Jones,QB,23,2016,0,0,0,0,1,6,11,96,0,1,1,-1,0,Ohio St.,2016,0.0
6924,5,162,KAN,Kevin Hogan,QB,23,2021,0,0,0,2,9,60,101,621,4,7,18,176,1,Stanford,2016,0.20885424636309724
6949,6,187,WAS,Nate Sudfeld,QB,22,2022,0,0,0,1,6,25,37,188,1,1,10,28,0,Indiana,2016,0.125
6953,6,191,DET,Jake Rudock,QB,23,2017,0,0,0,0,3,3,5,24,0,1,0,0,0,Michigan,2016,0.0
6963,6,201,JAX,Brandon Allen,QB,24,2022,0,0,0,4,15,149,263,1611,10,6,33,64,0,Arkansas,2016,0.3104724495936222
6969,6,207,SFO,Jeff Driskel,QB,23,2023,0,0,0,7,24,229,391,2394,16,10,80,417,3,Louisiana Tech,2016,0.39732354350622556
6985,7,223,MIA,Brandon Doughty,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Kentucky,2016,0.0
7017,1,2,CHI,Mitchell Trubisky,QB,23,2023,0,1,4,38,69,1200,1872,12536,72,48,238,1173,13,North Carolina,2017,1.1078525641563568
7025,1,10,KAN,Patrick Mahomes,QB,21,2023,2,6,5,96,96,2386,3590,28424,219,63,374,1936,12,Texas Tech,2017,2.4406157184304007
7027,1,12,HOU,Deshaun Watson,QB,21,2023,0,3,3,58,66,1390,2089,16756,118,45,369,1994,19,Clemson,2017,1.921342013956983
7067,2,52,CLE,DeShone Kizer,QB,21,2018,0,0,1,6,18,275,518,3081,11,24,82,458,5,Notre Dame,2017,0.4292907243315766
7102,3,87,NYG,Davis Webb,QB,22,2022,0,0,0,1,2,23,40,168,1,0,8,38,1,California,2017,0.25
7119,3,104,SFO,C.J. Beathard,QB,23,2023,0,0,0,9,32,340,563,3886,19,14,64,266,4,Iowa,2017,0.4107826519187716
7150,4,135,PIT,Joshua Dobbs,QB,22,2023,0,0,0,8,21,312,502,2920,15,13,91,496,6,Tennessee,2017,0.5272057622644862
7186,5,171,BUF,Nathan Peterman,QB,23,2023,0,0,0,3,15,85,160,712,4,13,24,87,1,Pittsburgh,2017,0.21983487169685598
7230,6,215,DET,Brad Kaaya,QB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miami (FL),2017,0.0
7268,7,253,DEN,Chad Kelly,QB,23,2018,0,0,0,0,1,0,0,0,0,0,1,-1,0,Mississippi,2017,0.0
7269,1,1,CLE,Baker Mayfield,QB,23,2023,0,1,4,57,89,1750,2825,20332,130,74,251,823,7,Oklahoma,2018,1.4060748314148706
7271,1,3,NYJ,Sam Darnold,QB,21,2023,0,0,4,25,66,1082,1811,12064,63,56,209,760,13,USC,2018,0.6998727715867199
7275,1,7,BUF,Josh Allen,QB,22,2023,0,3,5,83,94,1989,3145,22703,167,78,657,3611,53,Wyoming,2018,2.092292883105988
7278,1,10,ARI,Josh Rosen,QB,21,2021,0,0,1,3,24,277,513,2864,12,21,26,151,0,UCLA,2018,0.14373818534025198
7300,1,32,BAL,Lamar Jackson,QB,21,2023,2,3,4,84,86,1362,2112,15887,125,45,875,5258,29,Louisville,2018,2.315540978217853
7344,3,76,PIT,Mason Rudolph,QB,23,2023,0,0,1,7,21,291,458,3085,19,11,43,97,0,Oklahoma St.,2018,0.4491483535287767
7376,4,108,NYG,Kyle Lauletta,QB,23,2018,0,0,0,0,2,0,5,0,0,1,1,-2,0,Richmond,2018,0.0
7439,5,171,DAL,Mike White,QB,23,2023,0,0,0,5,14,196,313,2219,9,13,19,-1,1,Western Kentucky,2018,0.4311655192066296
7467,6,199,TEN,Luke Falk,QB,23,2019,0,0,0,1,3,47,73,416,0,3,0,0,0,Washington St.,2018,0.2
7471,6,203,JAX,Tanner Lee,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,2018,0.0
7487,7,219,NWE,Danny Etling,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LSU,2018,0.0
7488,7,220,SEA,Alex McGough,QB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida International,2018,0.0
7517,7,249,CIN,Logan Woodside,QB,23,2023,0,0,0,0,13,4,7,34,0,1,14,10,0,Toledo,2018,0.0
7525,1,1,ARI,Kyler Murray,QB,22,2023,0,2,4,57,65,1492,2239,15647,94,46,425,2448,26,Oklahoma,2019,1.9097434277425855
7530,1,6,NYG,Daniel Jones,QB,22,2023,0,0,4,38,60,1221,1900,12512,62,40,332,1914,13,Duke,2019,1.268669871856473
7539,1,15,WAS,Dwayne Haskins,QB,22,2020,0,0,0,4,16,267,444,2804,12,14,40,147,1,Ohio St.,2019,0.2932239801717543
7566,2,42,DEN,Drew Lock,QB,22,2023,0,0,1,13,28,469,786,5283,28,23,77,299,5,Missouri,2019,0.7237869826784177
7624,3,100,CAR,Will Grier,QB,24,2019,0,0,0,1,2,28,52,228,0,4,7,22,0,West Virginia,2019,0.25
7628,4,104,CIN,Ryan Finley,QB,24,2020,0,0,0,2,8,58,119,638,3,4,21,143,1,North Carolina St.,2019,0.22973967099940698
7657,4,133,NWE,Jarrett Stidham,QB,23,2023,0,0,0,6,16,117,197,1422,8,8,32,97,0,Auburn,2019,0.4769896937017518
7690,5,166,LAC,Easton Stick,QB,23,2023,0,0,0,4,6,112,175,1133,3,1,28,142,1,North Dakota St.,2019,0.6597539553864471
7691,5,167,PHI,Clayton Thorson,QB,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwestern,2019,0.0
7702,6,178,JAX,Gardner Minshew II,QB,23,2023,0,1,2,29,49,891,1423,9937,59,24,146,621,5,Washington St.,2019,1.1150835816898408
7721,6,197,BAL,Trace McSorley,QB,24,2022,0,0,0,1,9,48,93,502,1,5,21,79,0,Penn St.,2019,0.09090909090909091
7779,1,1,CIN,Joe Burrow,QB,23,2023,0,1,3,44,52,1288,1895,14083,97,37,183,605,10,LSU,2020,1.7367985663689207
7783,1,5,MIA,Tua Tagovailoa,QB,22,2023,0,1,3,38,53,1096,1638,12639,81,37,136,381,6,Alabama,2020,1.4301369464563878
7784,1,6,LAC,Justin Herbert,QB,22,2023,0,1,3,52,62,1613,2422,17223,114,42,224,911,11,Oregon,2020,1.790704967547405
7804,1,26,GNB,Jordan Love,QB,21,2023,0,0,0,18,27,422,662,4765,35,14,63,273,4,Utah St.,2020,1.1064429049444158
7831,2,53,PHI,Jalen Hurts,QB,22,2023,0,2,2,56,62,1000,1578,11764,67,34,524,2503,41,Oklahoma,2020,1.9572471007602528
7900,4,122,IND,Jacob Eason,QB,22,2022,0,0,0,0,2,5,10,84,0,2,0,0,0,Washington,2020,0.0
7903,4,125,NYJ,James Morgan,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida International,2020,0.0
7945,5,167,BUF,Jake Fromm,QB,22,2021,0,0,0,1,3,27,60,210,1,3,8,65,0,Georgia,2020,0.2
7967,6,189,JAX,Jake Luton,QB,24,2020,0,0,0,2,3,60,110,624,2,6,1,13,1,Oregon St.,2020,0.45947934199881396
8002,7,224,TEN,Cole McDonald,QB,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hawaii,2020,0.0
8009,7,231,DAL,Ben DiNucci,QB,23,2020,0,0,0,1,3,23,43,219,0,0,6,22,0,James Madison,2020,0.2
8018,7,240,NOR,Tommy Stevens,QB,23,2020,0,0,0,0,1,0,0,0,0,0,4,24,0,Mississippi St.,2020,0.0
8022,7,244,MIN,Nate Stanley,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,2020,0.0
8034,1,1,JAX,Trevor Lawrence,QB,21,2023,0,1,2,34,50,1116,1750,11770,58,39,205,964,11,Clemson,2021,1.3236444920960784
8035,1,2,NYJ,Zach Wilson,QB,22,2023,0,0,2,13,34,566,993,6293,23,25,93,498,5,BYU,2021,0.6031558188986814
8036,1,3,SFO,Trey Lance,QB,21,2022,0,0,0,4,8,56,102,797,5,3,54,235,1,North Dakota St.,2021,0.5278031643091576
8044,1,11,CHI,Justin Fields,QB,22,2023,0,0,1,34,40,578,958,6674,40,30,356,2220,14,Ohio St.,2021,1.6387979425951447
8048,1,15,NWE,Mac Jones,QB,23,2023,0,1,2,24,42,864,1308,8918,46,36,117,327,1,Alabama,2021,1.0299136486853475
8097,2,64,TAM,Kyle Trask,QB,23,2023,0,0,0,0,3,3,10,23,0,0,1,-1,0,Florida,2021,0.0
8099,3,66,MIN,Kellen Mond,QB,22,2021,0,0,0,0,1,2,3,5,0,0,0,0,0,Texas A&M,2021,0.0
