,cv_time,bal_acc,f1,roc_auc,feature_time,creation_source,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,mean_usage,total_usage,inviter_adopted,inviter_usage,inviter_invites,user_invites,org_users,org_usage
LogisticRegression,0.0,0.9418797254520761,0.93426753989487,0.9977854452699745,1.0,-0.0017957351290688634,-0.00033670033670074834,-0.0007856341189678147,-0.00033670033670074834,-0.000673400673401048,0.27845117845117795,1.0,-0.0003367003367005988,-0.000561167227834132,-0.0006734006734008986,0.0,-0.0003367003367005988,-0.0008978675645347308
ExtraTreesClassifier,1.0,0.9478700831178763,0.9338757039138178,0.9979056410063908,11.0,0.020390070921985783,0.013408687943262264,0.00831117021276578,0.021276595744681017,0.0003324468085106017,0.3558289007092198,1.0,0.007203014184397108,0.0034352836879433264,0.0027703900709218285,0.004432624113475427,0.009197695035461013,0.008754432624113248
HistGradientBoostingClassifier,1.0,0.9645796035500445,0.9418587555482552,0.9984924522363864,2.0,0.004178272980501478,0.0028674422415207934,0.000491561527117975,0.02105521874487976,-0.00040963460593146394,0.06767163689988548,1.0,0.00016385384237258558,0.008274619039816555,0.006636080616090698,0.0023758807144030366,0.012370965099131739,0.020973291823693466
LGBMClassifier,2.0,0.9647569463936385,0.946990173800013,0.9985597977514548,0.0,0.010767160161507403,0.08882907133243607,0.03230148048452221,0.1386271870794078,0.040376850605652756,1.0,0.8465679676985195,0.013458950201884253,0.22611036339165544,0.2570659488559892,0.06729475100942127,0.6756393001345895,0.6406460296096904
CatBoostClassifier,44.0,,,0.9986172283620526,42.0,0.20197276683243295,0.08745262299228213,0.021011157422349897,0.3147351339951376,0.00512562370256355,0.3732166953884604,1.0,0.00910186703278021,0.08194759445450009,0.05533970502521025,0.03542368280429396,0.18231441828015196,0.23630681365875417
XGBClassifier,0.0,0.96453092885088,0.9415077520021213,0.9983027552759678,0.0,0.012544088065624237,0.018241694197058678,0.010820234194397926,0.010297991335391998,0.023284845054149628,0.027732444927096367,1.0,0.01010881643742323,0.012272967025637627,0.011271256022155285,0.011845421977341175,0.011323667131364346,0.010629503056406975
KNeighborsClassifier,0.0,0.6993181836134175,0.5675064728240852,0.8144513106072931,56.0,0.013483850736908718,0.0009407337723431585,0.005644402634055191,0.1232361241768585,-0.0031357792411410763,0.7670116023831922,1.0,-0.0065851364063962605,-0.0075258701787385834,-0.008153026026967217,-0.001254311696456013,0.005644402634055191,-0.0043900909375970895
R2,,,,,,-0.0030768346179520763,0.008008792259614346,0.007030729601621127,0.0940053259713776,0.03477042390960213,0.9712354631348944,1.0,0.08135426847734499,0.07113439752641788,0.01535684607150956,0.07512866638158694,-0.08455146221716221,0.2114592823850948
